"","process","percentage","env_broad_scale"
"Mangrove biome.1","variable selection",23.4259259259259,"Mangrove biome"
"Mangrove biome.2","homogeneous selection",6.14197530864198,"Mangrove biome"
"Mangrove biome.3","dispersal limitation",32.7777777777778,"Mangrove biome"
"Mangrove biome.4","homogeneous dispersal",0.709876543209877,"Mangrove biome"
"Mangrove biome.5","drift",36.9444444444444,"Mangrove biome"
"Freshwater biome.1","variable selection",21.355076684139,"Freshwater biome"
"Freshwater biome.2","homogeneous selection",7.51310425160163,"Freshwater biome"
"Freshwater biome.3","dispersal limitation",58.5711512327703,"Freshwater biome"
"Freshwater biome.4","homogeneous dispersal",0.05824111822947,"Freshwater biome"
"Freshwater biome.5","drift",12.5024267132596,"Freshwater biome"
"Seagrass biome.1","variable selection",NA,"Seagrass biome"
"Seagrass biome.2","homogeneous selection",NA,"Seagrass biome"
"Seagrass biome.3","dispersal limitation",NA,"Seagrass biome"
"Seagrass biome.4","homogeneous dispersal",NA,"Seagrass biome"
"Seagrass biome.5","drift",NA,"Seagrass biome"
