"","Sample","Measure","Value","Sample_ID","collection_date","env_broad_scale","env_local_scale","env_medium","sample_name","Sitename","depth"
"1","SRR24906812","Observed",396,"SRR24906812","2017-08","Mangrove biome","wetland water","surface water","pre-TS6-0.22","TS6","surface"
"2","SRR24906813","Observed",801,"SRR24906813","2017-08","Freshwater biome","wetland water","surface water","pre-TS3-0.22","TS3","surface"
"3","SRR24906814","Observed",704,"SRR24906814","2017-08","Freshwater biome","wetland water","surface water","pre-TS2-0.22","TS2","surface"
"4","SRR24906815","Observed",523,"SRR24906815","2017-08","Freshwater biome","wetland water","surface water","pre-TS1-0.22","TS1","surface"
"5","SRR24906816","Observed",383,"SRR24906816","2017-08","Mangrove biome","wetland water","surface water","pre-SRS6-0.22","SRS6","surface"
"6","SRR24906817","Observed",523,"SRR24906817","2017-08","Mangrove biome","wetland water","surface water","pre-SRS5-0.22","SRS5","surface"
"7","SRR24906818","Observed",414,"SRR24906818","2017-08","Mangrove biome","wetland water","surface water","pre-SRS4-0.22","SRS4","surface"
"8","SRR24906819","Observed",879,"SRR24906819","2017-08","Freshwater biome","wetland water","surface water","pre-SRS3-0.22","SRS3","surface"
"9","SRR24906820","Observed",442,"SRR24906820","2017-08","Seagrass biome","wetland water","surface water","pre-TS11-0.22","TS11","surface"
"10","SRR24906821","Observed",152,"SRR24906821","2017-08","Seagrass biome","wetland water","surface water","pre-TS10-0.22","TS10","surface"
"11","SRR24906822","Observed",140,"SRR24906822","2017-08","Seagrass biome","wetland water","surface water","pre-TS9-0.22","TS9","surface"
"12","SRR24906823","Observed",229,"SRR24906823","2017-08","Mangrove biome","wetland water","surface water","pre-TS7-0.22","TS7","surface"
"13","SRR24906824","Observed",300,"SRR24906824","2017-08","Freshwater biome","wetland water","surface water","pre-SRS2-0.22","SRS2","surface"
"14","SRR24906825","Observed",339,"SRR24906825","2017-08","Freshwater biome","wetland water","surface water","pre-SRS1d-0.22","SRS1","surface"
"15","SRR17936983","Observed",2286,"SRR17936983","2020-08","Freshwater biome","Freshwater|Taylor Slough 01","Freshwater|marsh","TS1_R2_F10","TS1","09mm"
"16","SRR17936984","Observed",2183,"SRR17936984","2020-08","Freshwater biome","Freshwater|Taylor Slough 01","Freshwater|marsh","TS1_R1_F9","TS1","27mm"
"17","SRR17936985","Observed",1914,"SRR17936985","2020-08","Freshwater biome","Freshwater|Taylor Slough 01","Freshwater|marsh","TS1_R1_F7","TS1","45mm"
"18","SRR17936986","Observed",2114,"SRR17936986","2020-08","Freshwater biome","Freshwater|Taylor Slough 01","Freshwater|marsh","TS1_R1_F5","TS1","63mm"
"19","SRR17936987","Observed",1993,"SRR17936987","2020-08","Freshwater biome","Freshwater|Taylor Slough 01","Freshwater|marsh","TS1_R1_F3","TS1","81mm"
"20","SRR17936988","Observed",2239,"SRR17936988","2020-08","Freshwater biome","Freshwater|Taylor Slough 01","Freshwater|marsh","TS1_R1_F11","TS1","09mm"
"21","SRR17936989","Observed",2445,"SRR17936989","2020-08","Freshwater biome","Freshwater|Shark River Slough 1","Freshwater|marsh","SRS1_R2_F8","SRS1","27mm"
"22","SRR17936990","Observed",2561,"SRR17936990","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R3_F8","SRS6","09mm"
"23","SRR17936991","Observed",2603,"SRR17936991","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R3_F6","SRS6","27mm"
"24","SRR17936992","Observed",2431,"SRR17936992","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R3_F4","SRS6","45mm"
"25","SRR17936993","Observed",2471,"SRR17936993","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R3_F2","SRS6","63mm"
"26","SRR17936994","Observed",2195,"SRR17936994","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R3_F1","SRS6","81mm"
"27","SRR17936995","Observed",2244,"SRR17936995","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R2_F8","SRS6","09mm"
"28","SRR17936996","Observed",2213,"SRR17936996","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R2_F6","SRS6","27mm"
"29","SRR17936997","Observed",2175,"SRR17936997","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R2_F4","SRS6","45mm"
"30","SRR17936998","Observed",2203,"SRR17936998","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R2_F2","SRS6","63mm"
"31","SRR17936999","Observed",2150,"SRR17936999","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R2_F1","SRS6","81mm"
"32","SRR17937000","Observed",2279,"SRR17937000","2020-08","Freshwater biome","Freshwater|Shark River Slough 1","Freshwater|marsh","SRS1_R2_F6","SRS1","45mm"
"33","SRR17937001","Observed",2163,"SRR17937001","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R1_F8","SRS6","27mm"
"34","SRR17937002","Observed",2163,"SRR17937002","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R1_F6","SRS6","45mm"
"35","SRR17937003","Observed",2332,"SRR17937003","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R1_F4","SRS6","63mm"
"36","SRR17937004","Observed",2164,"SRR17937004","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R1_F2","SRS6","81mm"
"37","SRR17937005","Observed",2212,"SRR17937005","2020-08","Mangrove biome","Mangrove|Shark River Slough 6","Mangrove|marsh","SRS6_R1_F10","SRS6","09mm"
"38","SRR17937006","Observed",2304,"SRR17937006","2020-08","Mangrove biome","Mangrove|Shark River Slough 5","Mangrove|marsh","SRS5_R3_F8","SRS5","27mm"
"39","SRR17937007","Observed",2143,"SRR17937007","2020-08","Mangrove biome","Mangrove|Shark River Slough 5","Mangrove|marsh","SRS5_R3_F6","SRS5","45mm"
"40","SRR17937008","Observed",2087,"SRR17937008","2020-08","Mangrove biome","Mangrove|Shark River Slough 5","Mangrove|marsh","SRS5_R3_F4","SRS5","63mm"
"41","SRR17937009","Observed",2210,"SRR17937009","2020-08","Mangrove biome","Mangrove|Shark River Slough 5","Mangrove|marsh","SRS5_R3_F2","SRS5","81mm"
