Sample_ID	collection_date	env_broad_scale	env_local_scale	env_medium	sample_name	Sitename	depth
SRR17936983	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R2_F10	TS1	09mm
SRR17936984	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R1_F9	TS1	27mm
SRR17936985	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R1_F7	TS1	45mm
SRR17936986	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R1_F5	TS1	63mm
SRR17936987	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R1_F3	TS1	81mm
SRR17936988	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R1_F11	TS1	09mm
SRR17936989	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R2_F8	SRS1	27mm
SRR17936990	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R3_F8	SRS6	09mm
SRR17936991	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R3_F6	SRS6	27mm
SRR17936992	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R3_F4	SRS6	45mm
SRR17936993	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R3_F2	SRS6	63mm
SRR17936994	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R3_F1	SRS6	81mm
SRR17936995	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R2_F8	SRS6	09mm
SRR17936996	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R2_F6	SRS6	27mm
SRR17936997	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R2_F4	SRS6	45mm
SRR17936998	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R2_F2	SRS6	63mm
SRR17936999	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R2_F1	SRS6	81mm
SRR17937000	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R2_F6	SRS1	45mm
SRR17937001	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R1_F8	SRS6	27mm
SRR17937002	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R1_F6	SRS6	45mm
SRR17937003	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R1_F4	SRS6	63mm
SRR17937004	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R1_F2	SRS6	81mm
SRR17937005	2020-08	Mangrove biome	Mangrove|Shark River Slough 6	Mangrove|marsh	SRS6_R1_F10	SRS6	09mm
SRR17937006	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R3_F8	SRS5	27mm
SRR17937007	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R3_F6	SRS5	45mm
SRR17937008	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R3_F4	SRS5	63mm
SRR17937009	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R3_F2	SRS5	81mm
SRR17937010	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R3_F10	SRS5	09mm
SRR17937011	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R2_F4	SRS1	63mm
SRR17937012	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R2_F8	SRS5	27mm
SRR17937013	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R2_F6	SRS5	45mm
SRR17937014	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R2_F4	SRS5	63mm
SRR17937015	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R2_F2	SRS5	81mm
SRR17937016	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R2_F10	SRS5	09mm
SRR17937017	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R1_F8	SRS5	27mm
SRR17937018	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R1_F6	SRS5	45mm
SRR17937019	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R1_F6	SRS1	45mm
SRR17937020	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R3_F8	SRS2	27mm
SRR17937021	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R3_F6	SRS2	45mm
SRR17937022	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R3_F4	SRS2	63mm
SRR17937023	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R3_F2	SRS2	81mm
SRR17937024	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R3_F10	SRS2	09mm
SRR17937025	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R2_F8	SRS2	27mm
SRR17937026	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R2_F6	SRS2	45mm
SRR17937027	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R2_F4	SRS2	63mm
SRR17937028	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R2_F2	SRS2	81mm
SRR17937029	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R3_F7	TS9	09mm
SRR17937030	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R3_F5	TS9	27mm
SRR17937031	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R3_F3	TS9	45mm
SRR17937032	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R3_F1	TS9	63mm
SRR17937033	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R2_F8	TS9	27mm
SRR17937034	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R2_F6	TS9	45mm
SRR17937035	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R2_F10	SRS2	09mm
SRR17937036	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R1_F4	SRS1	63mm
SRR17937037	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R2_F4	TS9	63mm
SRR17937038	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R2_F2	TS9	81mm
SRR17937039	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R2_F10	TS9	09mm
SRR17937040	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R1_F8	TS9	09mm
SRR17937041	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R1_F6	TS9	27mm
SRR17937042	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R1_F4	TS9	45mm
SRR17937043	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R1_F2	TS9	63mm
SRR17937044	2020-08	Seagrass biome	Seagrass|Taylor Slough 09	Seagrass|mud	TS9_R1_F1	TS9	81mm
SRR17937045	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R3_F7	TS7	09mm
SRR17937046	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R3_F5	TS7	27mm
SRR17937047	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R1_F8	SRS2	27mm
SRR17937048	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R3_F3	TS7	45mm
SRR17937049	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R3_F1	TS7	63mm
SRR17937050	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R2_F6	TS7	09mm
SRR17937051	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R2_F4	TS7	27mm
SRR17937052	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R1_F4	SRS5	63mm
SRR17937053	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R1_F2	SRS5	81mm
SRR17937054	2020-08	Mangrove biome	Mangrove|Shark River Slough 5	Mangrove|marsh	SRS5_R1_F10	SRS5	09mm
SRR17937055	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R2_F2	SRS1	81mm
SRR17937056	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R3_F8	SRS4	27mm
SRR17937057	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R3_F6	SRS4	45mm
SRR17937058	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R3_F4	SRS4	63mm
SRR17937059	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R3_F2	SRS4	81mm
SRR17937060	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R3_F10	SRS4	09mm
SRR17937061	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R2_F8	SRS4	27mm
SRR17937062	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R2_F6	SRS4	45mm
SRR17937063	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R2_F4	SRS4	63mm
SRR17937064	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R2_F2	SRS4	81mm
SRR17937065	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R2_F10	SRS4	09mm
SRR17937066	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R2_F10	SRS1	09mm
SRR17937067	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R1_F8	SRS4	27mm
SRR17937068	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R1_F6	SRS4	45mm
SRR17937069	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R1_F4	SRS4	63mm
SRR17937070	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R1_F2	SRS4	81mm
SRR17937071	2020-08	Mangrove biome	Mangrove|Shark River Slough 4	Mangrove|marsh	SRS4_R1_F10	SRS4	09mm
